,School Name,School Size,Town Name,Postal Code,Applied EQAO Grades,Academic EQAO Grades,,,0.45542153,0.804139715
159,Stratford Northwestern SS,,Stratford,N5A 6R7,0.57,0.91,,,,
160,F E Madill SS,655,Wingham,N0G 2W0,0.56,0.64,,,,
161,Essex DHS,729,Essex,N8M 2E1,0.54,0.87,,,,
162,General Amherst HS,621,Amherstburg,N9V 1Z8,0.68,0.91,,,,
163,Harrow DHS,,Harrow,N0R 1G0,,,,,,
164,Hon W C Kennedy SS,848,Windsor,N8X 2R2,0.44,0.72,,,,
165,Westview Freedom Academy Secondary School,604,Windsor,N9B 2Z8,0.34,0.73,,,,
166,Kingsville DHS,738,Kingsville,N9Y 1A6,0.6,0.81,,,,
167,Leamington DSS,939,Leamington,N8H 2B3,0.63,0.92,,,,
168,Belle River DHS,782,Belle River,N0R 1A0,0.77,0.95,,,,
169,Riverside SS,819,Windsor,N8S 1W8,0.44,0.82,,,,
170,Sandwich SS,979,LaSalle,N9J 2T5,0.57,0.86,,,,
171,Vincent Massey SS,"2,080",Windsor,N9E 1J2,0.34,0.91,,,,
172,W F Herman SS,761,Windsor,N8W 0A8,0.57,0.75,,,,
173,Walkerville SS,818,Windsor,N8Y 1L4,0.52,0.82,,,,
174,Western SS,300,Amherstburg,N9V 2Y9,0.21,0.58,,,,
175,Century SS,,Windsor,N9B 2Z8,,,,,,
176,Windsor Public Alternative SS,184,Windsor,N9B 1Y6,,,,,,
177,Alexander Mackenzie SS,401,Sarnia,N7S 3Y3,0.42,0.83,,,,
178,Blenheim DHS,281,Blenheim,N0P 1A0,0.42,0.79,,,,
179,North Lambton SS,549,Forest,N0N 1J0,0.36,0.72,,,,
180,John McGregor SS,608,Chatham,N7M 2C6,0.51,0.69,,,,
181,Chatham-Kent SS,"1,182",Chatham,N7L 2G7,0.42,0.8,,,,
182,Lambton Central CVI,758,Petrolia,N0N 1R0,0.45,0.84,,,,
183,Lambton Kent Composite School,279,Dresden,N0P 1M0,0.32,0.79,,,,
184,Northern CI &amp; VS,"1,110",Sarnia,N7S 2B1,0.53,0.84,,,,
185,Ridgetown DHS,178,Ridgetown,N0P 2C0,0.28,0.85,,,,
186,Sarnia CI &amp; TS,,Sarnia,N7T 1H1,,,,,,
187,St Clair SS,,Sarnia,N7S 2X1,,,,,,
188,Tilbury DHS,393,Tilbury,N0P 2L0,0.36,0.64,,,,
189,Wallaceburg DSS,611,Wallaceburg,N8A 3E1,0.31,0.72,,,,
190,A B Lucas SS,"1,507",London,N5X 1L8,0.44,0.87,,,,
191,Arthur Voaden SS,419,St Thomas,N5P 2X5,0.29,0.52,,,,
192,Central Elgin CI,543,St Thomas,N5R 2B5,0.4,0.8,,,,
193,Clarke Road SS,"1,082",London,N5W 5N4,0.36,0.78,,,,
194,College Avenue SS,897,Woodstock,N4S 2C8,0.33,0.66,,,,
195,Lord Dorchester SS,442,Dorchester,N0L 1G2,0.69,0.91,,,,
196,East Elgin SS,"1,336",Aylmer,N5H 1K6,0.4,0.73,,,,
197,GA Wheable Centre for Adult Education,N/D,London,N5Z 3P7,,,,,,
198,Glencoe DHS,172,Glencoe,N0L 1M0,0.36,0.73,,,,
199,Glendale HS,861,Tillsonburg,N4G 1J6,0.46,0.83,,,,
200,H B Beal SS,"2,048",London,N6B 1W5,0.39,0.77,,,,
201,Huron Park SS,747,Woodstock,N4S 5B5,0.45,0.82,,,,
202,Ingersoll District CI,837,Ingersoll,N5C 1N1,0.49,0.87,,,,
203,London Central SS,964,London,N6B 2P8,0.45,0.92,,,,
204,London South Collegiate Institute,573,London,N6C 1T4,0.34,0.84,,,,
205,Medway HS,"1,213",Arva,N0M 1C0,0.49,0.88,,,,
206,Montcalm SS,864,London,N6C 4W7,0.4,0.71,,,,
207,North Middlesex DHS,153,Parkhill,N0M 2K0,0.65,0.83,,,,
208,Oakridge SS,"1,024",London,N6H 1V4,0.52,0.83,,,,
209,Saunders SS,"1,641",London,N6K 1H5,0.38,0.76,,,,
210,Sir Frederick Banting SS,"1,363",London,N6G 2C3,0.34,0.84,,,,
211,Sir George Ross SS,,London,N5Y 2K3,,,,,,
212,Sir Wilfrid Laurier SS,"1,068",London,N6C 4W7,0.33,0.68,,,,
213,Parkside CI,995,St Thomas,N5R 3C2,0.46,0.83,,,,
214,Strathroy District CI,"1,127",Strathroy,N7G 4J8,0.61,0.89,,,,
215,B. Davison Secondary School,145,London,N5Z 1E6,,,,,,
216,Thames Valley District Alternative S,241,London,N5Z 3P7,,,,,,
217,West Elgin SS,287,West Lorne,N0L 2P0,0.3,0.77,,,,
218,Westminster SS,615,London,N6J 1W1,0.46,0.96,,,,
